category,file,table,graph,cent
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 8,Graph1D_y1,0005
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 9,Graph1D_y1,0510
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 10,Graph1D_y1,1020
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 11,Graph1D_y1,2040
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 12,Graph1D_y1,4060
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 13,Graph1D_y1,6080
spec_lambda,../../refdata/HEPData-ins1243863-v1-root.root,Table 14,Graph1D_y1,8090
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y1,0005
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y2,0510
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y3,1020
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y4,2030
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y5,3040
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y6,4050
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y7,5060
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y8,6070
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y9,7080
spec_proton,../../refdata/HEPData-ins1759506-v1-root.root,Table 5,Graph1D_y10,8090
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 41,Graph1D_y1,0005
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 42,Graph1D_y1,0510
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 43,Graph1D_y1,1020
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 44,Graph1D_y1,2030
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 45,Graph1D_y1,3040
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 46,Graph1D_y1,4050
v2_lambda,../../refdata/HEPData-ins1297103-v1-root.root,Table 47,Graph1D_y1,5060
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 29,Graph1D_y1,0005
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 30,Graph1D_y1,0510
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 31,Graph1D_y1,1020
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 32,Graph1D_y1,2030
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 33,Graph1D_y1,3040
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 34,Graph1D_y1,4050
v2_proton,../../refdata/HEPData-ins1297103-v1-root.root,Table 35,Graph1D_y1,5060
