centrality,fLBC,betaScale,betaT,rho2Scale,rho2_L,rho2_p,DeltaSS,DeltaSS_Err,DeltaOS,DeltaOS_Err,GammaSS,GammaSS_Err,GammaOS,GammaOS_Err,DelDelta,DelDelta_Err,DelGamma,DelGamma_Err,v2_p,v2_p_Err,v2_L,v2_L_Err,v2,v2_Err
15,0.082,1.0,0.866228,0.25,0.017536875,0.0162382,-1.571694564646629e-05,5.6770858005519606e-05,0.0021141016973045177,5.674739708419057e-05,7.336709004402518e-05,5.677063772530975e-05,0.00023783266617401387,5.670511120770421e-05,0.002129818642950984,8.026952967666916e-05,0.0001644655761299887,8.023948494859912e-05,0.07646223227633611,0.0002803284558875377,0.07567194998636875,0.0005429730154567541,0.07629590157407025,0.0002490899160498063
25,0.079,1.0,0.864216,1.5,0.1320645,0.1391208,-4.2932326298837174e-05,4.9112881359135265e-05,0.0030020765184968767,4.9082641918330945e-05,5.343537184951559e-05,4.91129078629862e-05,0.0004844789370296738,4.903162565278686e-05,0.003045008844795714,6.943472368404438e-05,0.0004310435651801582,6.939868898555072e-05,0.13525514874853822,0.00019552202670584481,0.13386646677615804,0.00037921476208207285,0.1349634988395539,0.00017378262945740106
45,0.074,1.0,0.803845,0.5,0.0484571,0.059576,-0.00017011446776553935,8.8771501357209e-05,0.006781410898160105,8.857964311076255e-05,-5.33667926082452e-05,8.87733637942681e-05,0.0011168380142939668,8.840790184939902e-05,0.006951525365925645,0.00012540627028519356,0.001170204806902212,0.00012528634095049004,0.1385253118227306,0.00022018460839974574,0.13755898637120506,0.00042828378520239324,0.13832329850191052,0.00019582157859367356
35,0.079,1.0,0.860267,1.0,0.1068,0.116661,1.0513181217440338e-05,6.448644168114963e-05,0.004348453726721492,6.441521610128354e-05,2.5933663071218717e-05,6.44811941213073e-05,0.0009119681980803588,6.432234480765333e-05,0.004337940545504052,9.114725023867352e-05,0.0008860345350091401,9.107792507992462e-05,0.15255058552743855,0.00020752486711078452,0.15120371416549422,0.0004024182493348333,0.15226744275665435,0.00018444360902486725
45,0.074,1.0,0.803845,2.0,0.1938284,0.238304,7.599103364359393e-05,8.931968541927845e-05,0.0068444366925767145,8.9126841703284e-05,-4.4373362883346246e-05,8.931952870759237e-05,0.0016858609406229443,8.895455529775793e-05,0.00676844565893312,0.000126180823088935,0.0017302343035062906,0.00012605907788322223,0.19444864385594324,0.0002168610779466113,0.18631559084735377,0.000423132406076288,0.19274955819690884,0.0001929935043909555
15,0.082,1.0,0.866228,1.25,0.08768437500000001,0.08119100000000001,-6.134584020876648e-05,5.683905095151613e-05,0.0022076209341728497,5.681508748159114e-05,-2.2387360653199902e-05,5.684296497459747e-05,0.0003323122686998751,5.6772254580928656e-05,0.0022689667743816164,8.036561378232547e-05,0.000354699629353075,8.033810775282854e-05,0.09251164937463321,0.0002796854694663616,0.09318020074634668,0.0005422847796837199,0.09265210748021792,0.00024857230139184433
15,0.082,1.0,0.866228,1.0,0.0701475,0.0649528,-3.0987404694486344e-05,5.684477309725156e-05,0.0021249228743781745,5.6812972373367864e-05,4.3859608949820536e-05,5.6845594321243215e-05,0.00030584171570495006,5.677126066933819e-05,0.002155910279072661,8.036816570244138e-05,0.00026198210675512954,8.033926581517474e-05,0.0881644283531292,0.00028004680125326154,0.08940970096979911,0.0005422254422577802,0.08842660716373112,0.0002488201734459917
25,0.079,1.0,0.864216,1.0,0.088043,0.0927472,-4.7771678710841354e-05,4.9031049447545415e-05,0.0029851135041385054,4.90002576970771e-05,0.00010473648803433971,4.903208227090676e-05,0.0005189447921912666,4.894868660827164e-05,0.0030328851828493467,6.93186054700151e-05,0.00041420830415692686,6.928289119613702e-05,0.12434490716813144,0.00019594278348593035,0.1232827925524776,0.00038006766627949717,0.12412174296355788,0.00017416013518411092
15,0.082,1.0,0.866228,1.5,0.10522125,0.09742920000000001,3.0466832888796854e-05,5.682728503764012e-05,0.002054236789049646,5.6806750059011264e-05,6.465888113677433e-05,5.6826060222959324e-05,0.00026791629974045483,5.676383984662307e-05,0.002023769956160849,8.035139810243611e-05,0.0002032574186036805,8.032020066332301e-05,0.0963261576518652,0.0002794443834103164,0.09700177739812253,0.0005416905835883507,0.09646821825568133,0.00024834582824101014
15,0.082,1.0,0.866228,1.75,0.122758125,0.1136674,-4.564049981103305e-05,5.6862557171631734e-05,0.002065368681892788,5.684566614925465e-05,3.6243324995384484e-05,5.685753302584765e-05,0.0001926920734026623,5.680135394444512e-05,0.002111009181703821,8.040385667397805e-05,0.0001564487484072778,8.036897953630796e-05,0.09990405467164228,0.00027940030462431006,0.10165008035040476,0.0005413381175256532,0.10027096788307745,0.0002482810456386817
